smiles,standard_type,pPot,cid,tid
C#CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1,IC50,7.221848749616356,CHEMBL260701,284
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,IC50,5.920818753952375,CHEMBL4075667,220
C#CCN1C(=O)C(=C2Nc3ccccc3C2=NOCCCC(=O)NO)c2ccccc21,IC50,5.729018543937668,CHEMBL4877598,1865
C#CCN1CCc2nc3nc(N4CCCC4)c(C#N)cc3c(N)c2C1,IC50,6.187086643357144,CHEMBL2022933,220
C#CCNC1CCc2ccccc21,IC50,7.721246399047171,CHEMBL1201142_CHEMBL1235738_CHEMBL887,220
C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,IC50,7.333482019445119,CHEMBL4212275,220
C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,IC50,8.0268721464003,CHEMBL4632951,220
C#CCNc1c2c(nc3ccccc13)CCCC2,IC50,7.294992040666663,CHEMBL4633540,220
C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,IC50,9.0,CHEMBL4225157,220
C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,IC50,6.176525770829699,CHEMBL221508,260
C#CCOCCn1c(SCc2ccc([S+](C)[O-])cc2)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,IC50,5.303294219066083,CHEMBL225101,260
C#CCON=Cc1c(N)ncnc1Oc1ccc2[nH]c(C)cc2c1F,IC50,7.2839966563652,CHEMBL219676,279
C#CCOc1ccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(N)n2)cc1,IC50,7.516270100999976,CHEMBL4790416,220
C#CCOc1ccc(C=NNc2c3c(nc4ccccc24)CCCC3)cc1,IC50,5.563837352959244,CHEMBL4542112,220
C#CCOc1cccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(C)n2)c1,IC50,8.020451625295905,CHEMBL5199704,220
C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,IC50,7.862645888629267,CHEMBL4790568,203
C#Cc1c(Oc2ccc(-n3cc(C(=O)NCc4ccc(F)cc4)ccc3=O)cc2F)ccnc1N,IC50,6.337242168318426,CHEMBL3309958,3717
C#Cc1c(Oc2ccc(NC(=O)NC(=O)Cc3ccc(F)cc3)cc2F)ccnc1N,IC50,8.698970004336019,CHEMBL502531,3717
C#Cc1c(Oc2ccc(NC(=O)c3cccn(-c4ccc(F)cc4)c3=O)cc2F)ccnc1N,IC50,9.0,CHEMBL462622,3717
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,IC50,8.397940008672037,CHEMBL65250,203
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,IC50,7.540607512240769,CHEMBL598798,203
C#Cc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1,IC50,7.1487416512809245,CHEMBL3416634,203
C#Cc1ccc(-c2cc3c(c(-c4cnc(OC)c(NS(C)(=O)=O)c4)c2)CNC3=O)cn1,IC50,6.962573502059376,CHEMBL4867101,4005
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)cc1,IC50,5.027334407733889,CHEMBL3314276,260
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,IC50,6.070581074285707,CHEMBL95320,203
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,IC50,8.619788758288394,CHEMBL4637274,203
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,IC50,8.356547323513812,CHEMBL4637274,325
C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,IC50,7.625251653989896,CHEMBL3805509,203
C#Cc1cccc(Nc2ncnc3cc(OC(C)COC)c4c(c23)OCCO4)c1,IC50,6.324588306285136,CHEMBL3805584,203
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)C=CCN(C)C4CC4)cc23)c1,IC50,8.481486060122112,CHEMBL3622674,203
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)C=CCN4CCCCC4)cc23)c1,IC50,8.568636235841012,CHEMBL3622672,203
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)C=CCNC4CC4)cc23)c1,IC50,8.102372908709558,CHEMBL3622677,203
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,IC50,8.619788758288394,CHEMBL598797,203
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,IC50,9.30102999566398,CHEMBL3355882,203
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,IC50,9.309803919971486,CHEMBL3355881,203
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,IC50,9.2518119729938,CHEMBL3355880,203
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCn4ccnc4[N+](=O)[O-])cc23)c1,IC50,8.96657624451305,CHEMBL3355879,203
C#Cc1cccc(Nc2ncnc3cc(OC)c4c(c23)OCCO4)c1,IC50,7.962573502059376,CHEMBL3805236,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCN(C)CC4)c(NC(=O)C=CCN(C)C)cc23)c1,IC50,8.09151498112135,CHEMBL3622649,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c(NC(=O)C=C)cc23)c1,IC50,7.492144128304169,CHEMBL3622625,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c(NC(=O)C=CCN(C)C)cc23)c1,IC50,8.920818753952375,CHEMBL3622645,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c(NC(=O)C=CCN4CCCCC4)cc23)c1,IC50,8.275724130399212,CHEMBL3622671,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c(NC(=O)C=CCNC(C)C)cc23)c1,IC50,8.193820026016112,CHEMBL3622679,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c(NC(=O)C=CCNC4CC4)cc23)c1,IC50,8.2518119729938,CHEMBL3622676,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)c1,IC50,7.777283528852417,CHEMBL3806170,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c(NC(=O)C=CCN(C)C)cc23)c1,IC50,8.221848749616356,CHEMBL3622648,203
C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c4c(c23)OCCO4)c1,IC50,7.2380721615794705,CHEMBL3806145,203
C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)C=CCN(C)C4CC4)cc23)c1,IC50,8.619788758288394,CHEMBL3622675,203
C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)C=CCN4CCCCC4)cc23)c1,IC50,8.214670164989233,CHEMBL3622673,203
C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)C=CCNC4CC4)cc23)c1,IC50,8.3767507096021,CHEMBL3622678,203
C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,IC50,8.036212172654444,CHEMBL3805039,203
C#Cc1cccc(Nc2ncnc3cc(OCC4CCCO4)c4c(c23)OCCO4)c1,IC50,7.5638373529592435,CHEMBL3805325,203
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,IC50,9.244125144327509,CHEMBL3360610,203
C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,IC50,9.327902142064282,CHEMBL3360609,203
C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,IC50,9.585026652029182,CHEMBL3360608,203
C#Cc1cccc(Nc2ncnc3cc(OCCCN4CC(O)C(O)C(O)C4CO)c(OC)cc23)c1,IC50,8.312471038785366,CHEMBL4102886,203
C#Cc1cccc(Nc2ncnc3cc(OCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,IC50,9.187086643357144,CHEMBL3360607,203
C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1,IC50,9.0,CHEMBL3741490,203
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)c4ccccc4OC(C)=O)c(OCCOC)cc23)c1,IC50,8.301029995663981,CHEMBL3741424,203
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)C=C)cc23)c1,IC50,8.744727494896694,CHEMBL3622617,203
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)C=CCN(C)C)cc23)c1,IC50,8.920818753952375,CHEMBL3622632,203
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,IC50,7.299988937677888,CHEMBL1079742_CHEMBL553,279
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c4c(c23)OCCO4)c1,IC50,7.67778070526608,CHEMBL3805461,203
C#Cc1cccc(Nc2ncnc3cc(OCCOCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,IC50,9.267606240177033,CHEMBL3360611,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN(C)C)CCO4)c1,IC50,8.522878745280337,CHEMBL3114690,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN(CC)CC)CCO4)c1,IC50,8.301029995663981,CHEMBL3114687,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCC(C)CC2)CCO4)c1,IC50,8.301029995663981,CHEMBL3114701,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCCC2)CCO4)c1,IC50,8.522878745280337,CHEMBL3114700,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCCCC2)CCO4)c1,IC50,8.397940008672037,CHEMBL3114688,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCCCC2C)CCO4)c1,IC50,8.301029995663981,CHEMBL3114686,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCN(C)CC2)CCO4)c1,IC50,7.795880017344075,CHEMBL3114689,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCOCC2)CCO4)c1,IC50,7.920818753952375,CHEMBL3114699,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCCCC2)C(=O)CO4)c1,IC50,6.674895017028593,CHEMBL3774396,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCOCC2)C(=O)CO4)c1,IC50,6.856985199745905,CHEMBL3774926,203
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,IC50,8.301029995663981,CHEMBL2087361,203
C#Cc1cccc(Nc2ncnc3cc4oc(=O)n(CCCC(=O)OCC)c4cc23)c1,IC50,5.2441251443275085,CHEMBL3612575,203
C#Cc1cccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,IC50,6.42021640338319,CHEMBL2064373,203
C#Cc1cccc(Nc2ncnc3cc4oc(=O)n(CCOC)c4cc23)c1,IC50,6.721246399047171,CHEMBL3612562,203
C#Cc1cccc(Nc2ncnc3ccc(-c4ccc(CNCCS(C)(=O)=O)o4)cc23)c1,IC50,7.466482137983032,CHEMBL4088135,203
C#Cc1cccc(Nc2ncnc3ccc(-c4ccc(CO)o4)cc23)c1,IC50,7.804377056413063,CHEMBL4089347,203
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,IC50,7.96018944585165,CHEMBL517907,203
C#Cc1cccc(Nc2ncnc3ccc(OCc4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,IC50,7.107905397309519,CHEMBL3218000,203
